R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,R_SIG_STR._att,R_SIG_STR._landed,B_SIG_STR._att,B_SIG_STR._landed,R_TOTAL_STR._att,R_TOTAL_STR._landed,B_TOTAL_STR._att,B_TOTAL_STR._landed,R_TD_att,R_TD_landed,B_TD_att,B_TD_landed,R_HEAD_att,R_HEAD_landed,B_HEAD_att,B_HEAD_landed,R_BODY_att,R_BODY_landed,B_BODY_att,B_BODY_landed,R_LEG_att,R_LEG_landed,B_LEG_att,B_LEG_landed,R_DISTANCE_att,R_DISTANCE_landed,B_DISTANCE_att,B_DISTANCE_landed,R_CLINCH_att,R_CLINCH_landed,B_CLINCH_att,B_CLINCH_landed,R_GROUND_att,R_GROUND_landed,B_GROUND_att,B_GROUND_landed,weight_class,no_of_rounds,R_Height,R_Weight,R_Reach,R_Stance,R_DOB,B_height,B_Weight,B_Reach,B_Stance,B_DOB
Henry Cejudo,Marlon Moraes,0,0,0.52,0.47,0.25,0.0,1,0,1,0,0,0,KO/TKO,3,4:51,5 Rnd (5-5-5-5-5),Marc Goddard,"June 08, 2019","Chicago, Illinois, USA",UFC Bantamweight Title Bout,Red,171,90,119,57,182,99,121,59,4,1,2,0,150,73,89,35,16,13,8,7,5,4,22,15,118,45,116,54,23,19,2,2,30,26,1,1,Bantamweight,5,162.56,135.0,162.56,Orthodox,"Feb 09, 1987",167.64000000000001,135.0,170.18,Orthodox,"Apr 26, 1988"
Valentina Shevchenko,Jessica Eye,1,0,0.72,0.16,1.0,0.0,1,0,3,0,0,0,KO/TKO,2,0:26,5 Rnd (5-5-5-5-5),Robert Madrigal,"June 08, 2019","Chicago, Illinois, USA",UFC Women's Flyweight Title Bout,Red,11,8,12,2,40,37,52,42,2,2,0,0,5,4,7,0,6,4,2,0,0,0,3,2,8,5,12,2,2,2,0,0,1,1,0,0,Women's Flyweight,5,165.1,125.0,167.64000000000001,Southpaw,"Mar 07, 1988",167.64000000000001,125.0,167.64000000000001,Orthodox,"Jul 27, 1986"
Tony Ferguson,Donald Cerrone,0,0,0.52,0.36,0.0,1.0,0,0,0,0,0,0,TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Dan Miragliotta,"June 08, 2019","Chicago, Illinois, USA",Lightweight Bout,Red,200,104,185,68,200,104,185,68,0,0,1,1,144,65,152,43,37,25,23,15,19,14,10,10,198,103,184,68,2,1,1,0,0,0,0,0,Lightweight,3,180.34,155.0,193.04,Orthodox,"Feb 12, 1984",185.42,155.0,185.42000000000002,Orthodox,"Mar 29, 1983"
Jimmie Rivera,Petr Yan,0,2,0.38,0.29,0.0,0.33,0,0,0,1,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,"June 08, 2019","Chicago, Illinois, USA",Bantamweight Bout,Blue,192,73,189,56,195,76,192,58,3,0,3,1,145,42,166,40,24,15,19,13,23,16,4,3,173,60,167,42,15,9,12,10,4,4,10,4,Bantamweight,3,162.56,135.0,172.72,Orthodox,"Jun 29, 1989",170.18,135.0,170.18,Switch,"Feb 11, 1993"
Tai Tuivasa,Blagoy Ivanov,0,1,0.44,0.59,0.0,1.0,0,0,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"June 08, 2019","Chicago, Illinois, USA",Heavyweight Bout,Blue,144,64,123,73,146,66,131,81,0,0,2,2,114,39,114,65,7,6,8,7,23,19,1,1,126,50,111,62,18,14,6,5,0,0,6,6,Heavyweight,3,187.96,264.0,190.5,Southpaw,"Mar 16, 1993",180.34,250.0,185.42000000000002,Southpaw,"Oct 09, 1986"
Tatiana Suarez,Nina Ansaroff,0,0,0.52,0.48,0.3,0.0,0,0,2,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Robert Madrigal,"June 08, 2019","Chicago, Illinois, USA",Women's Strawweight Bout,Red,142,75,99,48,166,95,105,54,13,4,0,0,85,29,66,31,29,22,26,15,28,24,7,2,100,42,89,39,7,7,5,4,35,26,5,5,Women's Strawweight,3,165.1,115.0,167.64000000000001,,"Dec 19, 1990",165.1,115.0,162.56,Orthodox,"Dec 03, 1985"
Aljamain Sterling,Pedro Munhoz,0,0,0.49,0.39,0.0,0.0,0,0,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"June 08, 2019","Chicago, Illinois, USA",Bantamweight Bout,Red,349,174,265,105,350,175,269,108,7,0,0,0,250,123,159,44,73,36,64,29,26,15,42,32,338,172,257,102,11,2,8,3,0,0,0,0,Bantamweight,3,170.18,135.0,180.34,Orthodox,"Jul 31, 1989",167.64000000000001,135.0,165.1,Orthodox,"Sep 07, 1986"
Karolina Kowalkiewicz,Alexa Grasso,0,0,0.38,0.4,0.0,0.0,0,1,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,"June 08, 2019","Chicago, Illinois, USA",Women's Strawweight Bout,Blue,232,90,369,148,234,92,384,163,0,0,0,0,186,55,289,92,33,27,46,33,13,8,34,23,217,79,339,123,15,11,30,25,0,0,0,0,Women's Strawweight,3,160.02,115.0,162.56,Orthodox,"Oct 15, 1985",165.1,115.0,167.64000000000001,Orthodox,"Aug 09, 1993"
Ricardo Lamas,Calvin Kattar,0,1,0.41,0.53,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,4:06,3 Rnd (5-5-5),Dan Miragliotta,"June 08, 2019","Chicago, Illinois, USA",Featherweight Bout,Blue,29,12,41,22,29,12,41,22,1,0,0,0,12,2,28,11,5,4,13,11,12,6,0,0,29,12,34,16,0,0,2,2,0,0,5,4,Featherweight,3,172.72,145.0,180.34,Orthodox,"May 21, 1982",180.34,145.0,182.88,Orthodox,"Mar 26, 1988"
Yan Xiaonan,Angela Hill,0,0,0.37,0.49,1.0,0.33,0,1,1,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Robert Madrigal,"June 08, 2019","Chicago, Illinois, USA",Women's Strawweight Bout,Red,249,94,144,71,264,105,151,78,1,1,3,1,199,64,110,44,22,11,26,21,28,19,8,6,229,83,127,56,17,8,15,13,3,3,2,2,Women's Strawweight,3,165.1,115.0,160.02,Orthodox,"Jun 16, 1989",160.02,115.0,162.56,Orthodox,"Jan 12, 1985"
